,Factor_1,Factor_2,Factor_3
temperature_c,-0.0001023513171102327,-0.43403010223984795,-2.4890316133174646
humidity,8.977729538379536e-05,0.4443064423873659,-0.13062353988016362
rain_mm,6.798398529755283e-05,-0.8451586894462836,-4.331076840567691
wind_speed_kmh,-0.0012335904451559133,-2.555183110947852,30.930552330258106
visibility_m_x,-0.0,1.656411949849983e-24,-5.719005416434327e-23
air_pressure_hpa,-0.0022357552842972523,-57.24305170643656,-0.0201076049158617
vehicle_count,-4323.336585508005,2.1101446934336984e-06,-8.615858705264067e-09
avg_speed_kmh,-2.311723278055725,5.9387814192178344e-05,-0.0010078476092151762
accident_count,0.4311006418762788,-0.00014329971818523413,-0.000120939434293832
